elo_diff,tournament,neutral,is_world_cup,match_result,date,year
-127.0,African Cup of Nations qualification,False,False,home_win,1994-11-13,1994
-1.0,African Cup of Nations qualification,False,False,draw,1994-11-13,1994
23.0,African Cup of Nations qualification,False,False,draw,1994-11-13,1994
-167.0,African Cup of Nations qualification,False,False,home_win,1994-11-13,1994
180.0,UEFA Euro qualification,False,False,home_win,1994-11-13,1994
-122.0,Gulf Cup,True,False,draw,1994-11-15,1994
-39.0,Friendly,False,False,away_win,1994-11-15,1994
318.0,Friendly,False,False,home_win,1994-11-16,1994
72.0,UEFA Euro qualification,False,False,home_win,1994-11-16,1994
0.0,UEFA Euro qualification,True,False,away_win,1994-11-16,1994
-546.0,UEFA Euro qualification,False,False,away_win,1994-11-16,1994
-200.0,UEFA Euro qualification,False,False,home_win,1994-11-16,1994
370.0,UEFA Euro qualification,False,False,home_win,1994-11-16,1994
-69.0,UEFA Euro qualification,False,False,home_win,1994-11-16,1994
-196.0,Friendly,False,False,away_win,1994-11-16,1994
95.0,UEFA Euro qualification,False,False,away_win,1994-11-16,1994
653.0,UEFA Euro qualification,False,False,home_win,1994-11-16,1994
249.0,UEFA Euro qualification,False,False,home_win,1994-11-16,1994
88.0,UEFA Euro qualification,False,False,home_win,1994-11-16,1994
-97.0,UEFA Euro qualification,False,False,draw,1994-11-16,1994
-223.0,UEFA Euro qualification,False,False,away_win,1994-11-16,1994
-126.0,Gulf Cup,True,False,away_win,1994-11-16,1994
-95.0,UEFA Euro qualification,False,False,draw,1994-11-16,1994
-199.0,Friendly,False,False,home_win,1994-11-19,1994
-145.0,African Cup of Nations qualification,False,False,home_win,1994-11-20,1994
-190.0,Friendly,False,False,away_win,1994-11-22,1994
15.0,Simba Tournament,True,False,away_win,1994-11-26,1994
313.0,CECAFA Cup,False,False,home_win,1994-11-26,1994
631.0,CECAFA Cup,False,False,home_win,1994-11-28,1994
248.0,Friendly,False,False,home_win,1994-11-29,1994
